EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Proveedor	Perfil	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Nuevo Buff Ingles	Nuevo Buff Espanol	Nuevo Buff Sug	Comportamiento	Consumo	Buff Calc	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Observaciones	Nuevo Buff Real	Posponer BUF	Posponer RED	Posponer GDB	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Buff Act	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	Pedid Calc Auxiliar	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Nuevo Inicio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Var	Porcent Lleno	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Numero Fila	Borrar
MEDITOP	MEDITOP.xlsm	42782	Bodega ECU	83AS0724N-00		0	0	"""Aortenstent E-XL, Endoprotesis Aortica,"""	0	0	0	0	Exl	0	0	JOTEC	0	0						0	0	0	5075.71	2	0			JOTEC	JOTEC AÉREO	14	2	12	1		LIBRE-91					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42593	42684	42684	42782			1	0.863013699	0	0.863013699	0	0	0	0		1	
MEDITOP	MEDITOP.xlsm	42782	Bodega ECU	74XX3024N35		0	0	E asy Plus introductor 30 x 24  6 7	0	0	0	0	Easy Plus	0	0	JOTEC	0	0						0	0	0	1	2	0			JOTEC	JOTEC AÉREO	14	2	12	1		LIBRE-91					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42593	42684	42684	42782			1	0.863013699	0	0.863013699	0	0	0	0		2	
MEDITOP	MEDITOP.xlsm	42782	Bodega ECU	74XX3020N35		0	0	E asy Plus introductor 30 x 20  6 7	0	0	0	0	Easy Plus	0	0	JOTEC	0	0						0	0	0	1	2	0			JOTEC	JOTEC AÉREO	14	2	12	1		LIBRE-91					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42593	42684	42684	42782			1	0.863013699	0	0.863013699	0	0	0	0		3	
MEDITOP	MEDITOP.xlsm	42782	Bodega ECU	74XX3022N35		0	0	E asy Plus introductor 30x22  7 3	0	0	0	0	Easy Plus	0	0	JOTEC	0	0						0	0	0	1	2	0			JOTEC	JOTEC AÉREO	14	2	12	1		LIBRE-91					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42593	42684	42684	42782			1	0.863013699	0	0.863013699	0	0	0	0		4	
MEDITOP	MEDITOP.xlsm	42782	Bodega ECU	81PL3005		0	0	E njoy stent periferico130x5x30	0	0	0	0	Enjoy	0	0	JOTEC	0	0						0	0	0	0	2783.33	0			JOTEC	JOTEC AÉREO	14	2	12	1		LIBRE-91					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42593	42684	42684	42782			1	0.863013699	0	0.863013699	0	0	0	0		5	
MEDITOP	MEDITOP.xlsm	42782	Bodega ECU	81PL4005		0	0	E njoy stent periferico 130x5x40	0	0	0	0	Enjoy	0	0	JOTEC	0	0						0	0	0	0	2783.33	0			JOTEC	JOTEC AÉREO	14	2	12	1		LIBRE-91					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42593	42684	42684	42782			1	0.863013699	0	0.863013699	0	0	0	0		6	
MEDITOP	MEDITOP.xlsm	42782	Bodega ECU	81PL4006		0	0	E njoy stent periferico 130x6x40	0	0	0	0	Enjoy	0	0	JOTEC	0	0						0	0	0	496.53	2783.33	0			JOTEC	JOTEC AÉREO	14	2	12	1		LIBRE-91					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42593	42684	42684	42782			1	0.863013699	0	0.863013699	0	0	0	0		7	
MEDITOP	MEDITOP.xlsm	42782	Bodega ECU	81PL4007		0	0	E njoy stent periferico 130x7x40	0	0	0	0	Enjoy	0	0	JOTEC	0	0						0	0	0	0	2783.33	0			JOTEC	JOTEC AÉREO	14	2	12	1		LIBRE-91					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42593	42684	42684	42782			1	0.863013699	0	0.863013699	0	0	0	0		8	
MEDITOP	MEDITOP.xlsm	42782	Bodega ECU	81PL4008		0	0	E njoy stent periferico 130x8x40	0	0	0	0	Enjoy	0	0	JOTEC	0	0						0	0	0	0	2783.33	0			JOTEC	JOTEC AÉREO	14	2	12	1		LIBRE-91					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42593	42684	42684	42782			1	0.863013699	0	0.863013699	0	0	0	0		9	
MEDITOP	MEDITOP.xlsm	42782	Bodega ECU	81PS6010		0	0	E njoy stent periferico 80x10x60	0	0	0	0	Enjoy	0	0	JOTEC	0	0						0	0	0	0	2783.33	0			JOTEC	JOTEC AÉREO	14	2	12	1		LIBRE-91					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42593	42684	42684	42782			1	0.863013699	0	0.863013699	0	0	0	0		10	
